DATE,TITLE,ARTIST,,LOCKDOWN,WEEK,TOTALWEEKS,PLAYS
19/4/20,Easy Easy by King Krule,King Krule,Easy Easy,1,3,3,5
19/4/20,Easy Yoke by Favela,Favela,Easy Yoke,1,3,3,4
19/4/20,Golden by Harry Styles,Harry Styles,Golden,1,3,3,4
19/4/20,Inside Friend (feat. John Mayer) by Leon Bridges,Leon Bridges,Inside Friend (feat. John Mayer),1,3,3,5
14/4/20,Just Like Honey by The Jesus and Mary Chain,The Jesus and Mary Chain,Just Like Honey,1,3,3,3
19/4/20,Nightrider by Tom Misch,Tom Misch,Nightrider,1,3,3,4
19/4/20,Paris by Little Dragon,Little Dragon,Paris,1,3,3,4
19/4/20,Pola by Jabberwocky,Jabberwocky,Pola,1,3,3,5
19/4/20,Where You Belong by Little Dragon,Little Dragon,Where You Belong,1,3,3,3
19/4/20,You're Not Good Enough by Blood Orange,Blood Orange,You're Not Good Enough,1,3,3,3
25/4/20,Baby by Ariel Pink,Ariel Pink,Baby,1,4,4,3
25/4/20,Baby Blue by King Krule,King Krule,Baby Blue,1,4,4,3
25/4/20,Breeze by Slow Corpse,Slow Corpse,Breeze,1,4,4,8
25/4/20,Bum Bum Bum by Cass McCombs,Cass McCombs,Bum Bum Bum,1,4,4,6
25/4/20,C-Side by Khruangbin,Khruangbin,C-Side,1,4,4,3
25/4/20,Can't Do Without You by Caribou,Caribou,Can't Do Without You,1,4,4,6
26/4/20,Careless Love by Croquet Club,Croquet Club,Careless Love,1,4,4,7
25/4/20,Cherry-Coloured Funk by Cocteau Twins,Cocteau Twins,Cherry-Coloured Funk,1,4,4,8
26/4/20,Cola Falls by The Mary Onettes,The Mary Onettes,Cola Falls,1,4,4,6
26/4/20,Colder & Closer by Tops,Tops,Colder & Closer,1,4,4,3
26/4/20,Confidently Lost by Sabrina Claudio,Sabrina Claudio,Confidently Lost,1,4,4,3
26/4/20,Easy Easy by King Krule,King Krule,Easy Easy,1,4,4,5
25/4/20,Easy Yoke by Favela,Favela,Easy Yoke,1,4,4,5
26/4/20,Feeling Like a Stranger by Midnight Faces,Midnight Faces,Feeling Like a Stranger,1,4,4,7
25/4/20,Fool For You by Snoh Aalegra,Snoh Aalegra,Fool For You,1,4,4,3
25/4/20,Foster by Rosehardt,Rosehardt,Foster,1,4,4,4
26/4/20,Futile Devices (Doveman Remix) by Sufjan Stevens,Sufjan Stevens,Futile Devices (Doveman Remix),1,4,4,12
26/4/20,Heaven or Las Vegas by Cocteau Twins,Cocteau Twins,Heaven or Las Vegas,1,4,4,6
23/4/20,Hold On by The Internet,The Internet,Hold On,1,4,4,3
26/4/20,HOTTIE by BROCKHAMPTON,BROCKHAMPTON,HOTTIE,1,4,4,3
26/4/20,If I Could Change Your Mind by HAIM,HAIM,If I Could Change Your Mind,1,4,4,3
25/4/20,Inside Friend (feat. John Mayer) by Leon Bridges,Leon Bridges,Inside Friend (feat. John Mayer),1,4,4,6
25/4/20,Last 100 by Tom Misch,Tom Misch,Last 100,1,4,4,3
26/4/20,Lay Me Down by Steve Lacy,Steve Lacy,Lay Me Down,1,4,4,3
26/4/20,Love My Way by The Psychedelic Furs,The Psychedelic Furs,Love My Way,1,4,4,3
25/4/20,Mecca by Wild Beasts,Wild Beasts,Mecca,1,4,4,6
25/4/20,Monument by Efterklang,Efterklang,Monument,1,4,4,6
26/4/20,Nightrider by Tom Misch,Tom Misch,Nightrider,1,4,4,11
26/4/20,Perks of Being a Sunflower by Soft Glas,Soft Glas,Perks of Being a Sunflower,1,4,4,3
25/4/20,Roses by Mac Ayres,Mac Ayres,Roses,1,4,4,3
25/4/20,Rush by Little Dragon,Little Dragon,Rush,1,4,4,6
26/4/20,Space Song by Beach House,Beach House,Space Song,1,4,4,6
26/4/20,The Night Before The Funeral by The Mary Onettes,The Mary Onettes,The Night Before The Funeral,1,4,4,7
26/4/20,Time Moves Slow by BADBADNOTGOOD,BADBADNOTGOOD,Time Moves Slow,1,4,4,4
26/4/20,Visions of Gideon by Sufjan Stevens,Sufjan Stevens,Visions of Gideon,1,4,4,9
25/4/20,Why Are There Boundaries by FKJ,FKJ,Why Are There Boundaries,1,4,4,3
26/4/20,Yam Yam by No Vacation,No Vacation,Yam Yam,1,4,4,3
25/4/20,You Left Me by Croquet Club,Croquet Club,You Left Me,1,4,4,5
3/5/20,Breeze by Slow Corpse,Slow Corpse,Breeze,1,5,5,6
3/5/20,Bum Bum Bum by Cass McCombs,Cass McCombs,Bum Bum Bum,1,5,5,3
3/5/20,Dreamland by Glass Animals,Glass Animals,Dreamland,1,5,5,6
29/4/20,Easy Easy by King Krule,King Krule,Easy Easy,1,5,5,4
3/5/20,Easy Yoke by Favela,Favela,Easy Yoke,1,5,5,3
3/5/20,Futile Devices (Doveman Remix) by Sufjan Stevens,Sufjan Stevens,Futile Devices (Doveman Remix),1,5,5,12
2/5/20,Glide (Goodbye Blue Pt. 2) by BADBADNOTGOOD,BADBADNOTGOOD,Glide (Goodbye Blue Pt. 2),1,5,5,3
1/5/20,Golden by Harry Styles,Harry Styles,Golden,1,5,5,3
3/5/20,Hazey - Stripped by Glass Animals,Glass Animals,Hazey - Stripped,1,5,5,4
3/5/20,Mecca by Wild Beasts,Wild Beasts,Mecca,1,5,5,4
3/5/20,Monument by Efterklang,Efterklang,Monument,1,5,5,3
2/5/20,Not You Too (feat. Chris Brown) by Drake,Drake,Not You Too (feat. Chris Brown),1,5,5,4
1/5/20,Sense by Kllo,Kllo,Sense,1,5,5,5
3/5/20,The Night Before The Funeral by The Mary Onettes,The Mary Onettes,The Night Before The Funeral,1,5,5,4
2/5/20,Time (You and I) by Khruangbin,Khruangbin,Time (You and I),1,5,5,3
3/5/20,Toes by Glass Animals,Glass Animals,Toes,1,5,5,5
3/5/20,Tokyo Drifting (with Denzel Curry) by Glass Animals,Glass Animals,Tokyo Drifting (with Denzel Curry),1,5,5,6
3/5/20,Visions of Gideon by Sufjan Stevens,Sufjan Stevens,Visions of Gideon,1,5,5,9
12/5/20,Baby Blue by King Krule,King Krule,Baby Blue,1,6,6,13
7/5/20,Catch a Falling Star by Perry Como,Perry Como,Catch a Falling Star,1,6,6,4
4/5/20,Charlotte's Thong by Connan Mockasin,Connan Mockasin,Charlotte's Thong,1,6,6,3
12/5/20,Dissolve by Kllo,Kllo,Dissolve,1,6,6,3
11/5/20,don_tgottabe by Knxwledge,Knxwledge,don_tgottabe,1,6,6,3
12/5/20,Dreamland by Glass Animals,Glass Animals,Dreamland,1,6,6,9
12/5/20,Easy Easy by King Krule,King Krule,Easy Easy,1,6,6,6
11/5/20,Fall Into You by Rosehardt,Rosehardt,Fall Into You,1,6,6,6
12/5/20,Foster by Rosehardt,Rosehardt,Foster,1,6,6,8
11/5/20,Futile Devices (Doveman Remix) by Sufjan Stevens,Sufjan Stevens,Futile Devices (Doveman Remix),1,6,6,5
9/5/20,Hazey - Stripped by Glass Animals,Glass Animals,Hazey - Stripped,1,6,6,4
6/5/20,Inside Friend (feat. John Mayer) by Leon Bridges,Leon Bridges,Inside Friend (feat. John Mayer),1,6,6,3
12/5/20,Insomnia by Kllo,Kllo,Insomnia,1,6,6,14
9/5/20,Mystery of Love by Sufjan Stevens,Sufjan Stevens,Mystery of Love,1,6,6,4
12/5/20,Not You Too (feat. Chris Brown) by Drake,Drake,Not You Too (feat. Chris Brown),1,6,6,7
12/5/20,Out Getting Ribs by King Krule,King Krule,Out Getting Ribs,1,6,6,15
5/5/20,Roses by Mac Ayres,Mac Ayres,Roses,1,6,6,4
12/5/20,Sense by Kllo,Kllo,Sense,1,6,6,5
11/5/20,Soulstiss by Rosehardt,Rosehardt,Soulstiss,1,6,6,6
11/5/20,Stranger by Vampire Weekend,Vampire Weekend,Stranger,1,6,6,3
9/5/20,Toes by Glass Animals,Glass Animals,Toes,1,6,6,8
12/5/20,Tokyo Drifting (with Denzel Curry) by Glass Animals,Glass Animals,Tokyo Drifting (with Denzel Curry),1,6,6,9
11/5/20,Waking Up by Sorry Girls,Sorry Girls,Waking Up,1,6,6,4
13/7/20,363N63 by King Krule,King Krule,363N63,2,1,7,3
14/7/20,3AM by HAIM,HAIM,3AM,2,1,7,20
14/7/20,Baby Blue by King Krule,King Krule,Baby Blue,2,1,7,4
9/7/20,Basement Jack by Steve Lacy,Steve Lacy,Basement Jack,2,1,7,4
8/7/20,Bends by Ralph Castelli,Ralph Castelli,Bends,2,1,7,8
8/7/20,Bermondsey Bosom (Right) by King Krule,King Krule,Bermondsey Bosom (Right),2,1,7,3
13/7/20,Border Line by King Krule,King Krule,Border Line,2,1,7,4
13/7/20,Cellular by King Krule,King Krule,Cellular,2,1,7,5
14/7/20,Chateau by Angus & Julia Stone,Angus & Julia Stone,Chateau,2,1,7,3
14/7/20,Chewing Gum - Edit by Blood Orange,Blood Orange,Chewing Gum - Edit,2,1,7,6
14/7/20,Color World by Hablot Brown,Hablot Brown,Color World,2,1,7,7
14/7/20,COMPLEXITIES by Daniel Caesar,Daniel Caesar,COMPLEXITIES,2,1,7,3
14/7/20,Crush by Souly Had,Souly Had,Crush,2,1,7,6
8/7/20,Don't Wanna by HAIM,HAIM,Don't Wanna,2,1,7,12
13/7/20,Easy Easy by King Krule,King Krule,Easy Easy,2,1,7,6
14/7/20,Evan Finds the Third Room by Khruangbin,Khruangbin,Evan Finds the Third Room,2,1,7,6
13/7/20,Foreign 2 by King Krule,King Krule,Foreign 2,2,1,7,3
8/7/20,Gasoline by HAIM,HAIM,Gasoline,2,1,7,9
10/7/20,Golden by Harry Styles,Harry Styles,Golden,2,1,7,3
14/7/20,Good Morning by Ralph Castelli,Ralph Castelli,Good Morning,2,1,7,3
13/7/20,Has This Hit? by King Krule,King Krule,Has This Hit?,2,1,7,3
8/7/20,Heat Waves by Glass Animals,Glass Animals,Heat Waves,2,1,7,7
13/7/20,High by Little Dragon,Little Dragon,High,2,1,7,4
11/7/20,Hold On by Little Dragon,Little Dragon,Hold On,2,1,7,3
14/7/20,Honey & I by HAIM,HAIM,Honey & I,2,1,7,3
12/7/20,Howling by Ry x,Ry x,Howling,2,1,7,3
8/7/20,I Know Alone by HAIM,HAIM,I Know Alone,2,1,7,8
14/7/20,It is What It Is by Blood Orange,Blood Orange,It is What It Is,2,1,7,4
8/7/20,La Lune by King Krule,King Krule,La Lune,2,1,7,8
8/7/20,Lockdown by Anderson .Paak,Anderson .Paak,Lockdown,2,1,7,7
14/7/20,Mood by The Internet,The Internet,Mood,2,1,7,3
9/7/20,My Kind of Woman by Mac DeMarco,Mac DeMarco,My Kind of Woman,2,1,7,7
11/7/20,Never Come Back by Caribou,Caribou,Never Come Back,2,1,7,3
13/7/20,On Hold by The xx,The xx,On Hold,2,1,7,3
13/7/20,Open by Rhye,Rhye,Open,2,1,7,3
13/7/20,Out Getting Ribs by King Krule,King Krule,Out Getting Ribs,2,1,7,4
14/7/20,Pink + White by Frank Ocean,Frank Ocean,Pink + White,2,1,7,3
8/7/20,Running by Ralph Castelli,Ralph Castelli,Running,2,1,7,8
9/7/20,Say You'll Say So by Geoffrey Landers,Geoffrey Landers,Say You'll Say So,2,1,7,8
12/7/20,Sense by Kllo,Kllo,Sense,2,1,7,3
14/7/20,Skate by Tycho,Tycho,Skate,2,1,7,7
8/7/20,The Noose of Jah City by King Krule,King Krule,The Noose of Jah City,2,1,7,6
8/7/20,The Ooz by King Krule,King Krule,The Ooz,2,1,7,4
8/7/20,The Steps by HAIM,HAIM,The Steps,2,1,7,10
13/7/20,Time Moves Slow by BADBADNOTGOOD,BADBADNOTGOOD,Time Moves Slow,2,1,7,3
14/7/20,Too Much by Tora,Tora,Too Much,2,1,7,5
13/7/20,U Don't Have to Call by Erykah Badu,Erykah Badu,U Don't Have to Call,2,1,7,3
13/7/20,Underclass by King Krule,King Krule,Underclass,2,1,7,5
13/7/20,Untold by Ry x,Ry x,Untold,2,1,7,3
14/7/20,Yam Yam by No Vacation,No Vacation,Yam Yam,2,1,7,5
13/7/20,Young by Vallis Alps,Vallis Alps,Young,2,1,7,3
8/7/20,Your Love (Déjà Vu) by Glass Animals,Glass Animals,Your Love (Déjà Vu),2,1,7,6
17/7/20,1 Up by Kllo,Kllo,1 Up,2,2,8,4
16/7/20,3 Days by Rhye,Rhye,3 Days,2,2,8,11
15/7/20,3AM by HAIM,HAIM,3AM,2,2,8,5
21/7/20,Baby Blue by King Krule,King Krule,Baby Blue,2,2,8,5
21/7/20,Colder & Closer by Tops,Tops,Colder & Closer,2,2,8,3
16/7/20,Color World by Hablot Brown,Hablot Brown,Color World,2,2,8,3
20/7/20,Crush by Souly Had,Souly Had,Crush,2,2,8,3
21/7/20,Easy Easy by King Krule,King Krule,Easy Easy,2,2,8,3
17/7/20,Evan Finds the Third Room by Khruangbin,Khruangbin,Evan Finds the Third Room,2,2,8,5
21/7/20,Foreign 2 by King Krule,King Krule,Foreign 2,2,2,8,3
20/7/20,Foreign Tides by Ry x,Ry x,Foreign Tides,2,2,8,3
16/7/20,Gasoline by HAIM,HAIM,Gasoline,2,2,8,3
21/7/20,Godspeed by Frank Ocean,Frank Ocean,Godspeed,2,2,8,5
19/7/20,Heat Waves by Glass Animals,Glass Animals,Heat Waves,2,2,8,4
20/7/20,High by Little Dragon,Little Dragon,High,2,2,8,3
21/7/20,Hold On by The Internet,The Internet,Hold On,2,2,8,3
20/7/20,hostage by Billie Eilish,Billie Eilish,hostage,2,2,8,4
20/7/20,Howling by Ry x,Ry x,Howling,2,2,8,3
16/7/20,It is What It Is by Blood Orange,Blood Orange,It is What It Is,2,2,8,4
17/7/20,Just Checking in by Kllo,Kllo,Just Checking in,2,2,8,4
20/7/20,La Lune by King Krule,King Krule,La Lune,2,2,8,3
17/7/20,Live Without Your Love (with Steve Lacy) by Love Regenerator,Love Regenerator,Live Without Your Love (with Steve Lacy),2,2,8,11
15/7/20,Lockdown by Anderson .Paak,Anderson .Paak,Lockdown,2,2,8,4
21/7/20,My Kind of Woman by Mac DeMarco,Mac DeMarco,My Kind of Woman,2,2,8,3
21/7/20,Ocean Bed by King Krule,King Krule,Ocean Bed,2,2,8,11
16/7/20,Out Getting Ribs by King Krule,King Krule,Out Getting Ribs,2,2,8,5
20/7/20,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III) by Rejjie Snow,Rejjie Snow,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III),2,2,8,6
21/7/20,Read My Mind by Lianne La Havas,Lianne La Havas,Read My Mind,2,2,8,5
17/7/20,Running by Ralph Castelli,Ralph Castelli,Running,2,2,8,6
17/7/20,Rush by Little Dragon,Little Dragon,Rush,2,2,8,4
21/7/20,Sense by Kllo,Kllo,Sense,2,2,8,3
15/7/20,Skate by Tycho,Tycho,Skate,2,2,8,7
17/7/20,Sour Flower by Lianne La Havas,Lianne La Havas,Sour Flower,2,2,8,3
15/7/20,Sugar Snap by Tora,Tora,Sugar Snap,2,2,8,3
21/7/20,Thames Water by Archy Marshall,Archy Marshall,Thames Water,2,2,8,4
21/7/20,The Steps by HAIM,HAIM,The Steps,2,2,8,5
21/7/20,Waist by Black Grapefruit,Black Grapefruit,Waist,2,2,8,4
19/7/20,Your Love (Déjà Vu) by Glass Animals,Glass Animals,Your Love (Déjà Vu),2,2,8,4
29/7/20,3 Days by Rhye,Rhye,3 Days,2,3,9,4
27/7/20,Baby Blue by King Krule,King Krule,Baby Blue,2,3,9,3
27/7/20,Be Mine by Amandla Stenberg,Amandla Stenberg,Be Mine,2,3,9,3
27/7/20,Binz by Solange,Solange,Binz,2,3,9,3
27/7/20,Cranes in the Sky by Solange,Solange,Cranes in the Sky,2,3,9,3
27/7/20,Easy Easy by King Krule,King Krule,Easy Easy,2,3,9,5
26/7/20,Empty Words by Bowery Electric,Bowery Electric,Empty Words,2,3,9,4
27/7/20,La Lune by King Krule,King Krule,La Lune,2,3,9,3
27/7/20,Live Without Your Love (with Steve Lacy) by Love Regenerator,Love Regenerator,Live Without Your Love (with Steve Lacy),2,3,9,5
27/7/20,Loner by Kali Uchis,Kali Uchis,Loner,2,3,9,4
29/7/20,Mind Fields by No Vacation,No Vacation,Mind Fields,2,3,9,3
27/7/20,Ocean Bed by King Krule,King Krule,Ocean Bed,2,3,9,4
22/7/20,Oops (Oh My) [feat. Missy Elliott] by Tweet,Tweet,Oops (Oh My) [feat. Missy Elliott],2,3,9,9
26/7/20,Paper Thin by Lianne La Havas,Lianne La Havas,Paper Thin,2,3,9,3
26/7/20,Parking Lot by Anderson .Paak,Anderson .Paak,Parking Lot,2,3,9,4
27/7/20,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III) by Rejjie Snow,Rejjie Snow,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III),2,3,9,3
23/7/20,Sara - 2015 Remaster by Fleetwood Mac,Fleetwood Mac,Sara - 2015 Remaster,2,3,9,4
26/7/20,Skate by Tycho,Tycho,Skate,2,3,9,3
27/7/20,Sour Flower by Lianne La Havas,Lianne La Havas,Sour Flower,2,3,9,3
25/7/20,Still Don't Know My Name by Labrinth,Labrinth,Still Don't Know My Name,2,3,9,5
26/7/20,Sugar for the Pill by Slowdive,Slowdive,Sugar for the Pill,2,3,9,3
22/7/20,Thames Water by Archy Marshall,Archy Marshall,Thames Water,2,3,9,4
26/7/20,The Night Song by Ravyn Lenae,Ravyn Lenae,The Night Song,2,3,9,3
25/7/20,Time Moves Slow by BADBADNOTGOOD,BADBADNOTGOOD,Time Moves Slow,2,3,9,3
26/7/20,What Once Was by Her's,Her's,What Once Was,2,3,9,4
22/7/20,Your Love (Déjà Vu) by Glass Animals,Glass Animals,Your Love (Déjà Vu),2,3,9,4
1/8/20,23 by Rejjie Snow,Rejjie Snow,23,2,4,10,6
3/8/20,(Don't Let the Dragon) Draag On by King Krule,King Krule,(Don't Let the Dragon) Draag On,2,4,10,3
1/8/20,1999 WILDFIRE by BROCKHAMPTON,BROCKHAMPTON,1999 WILDFIRE,2,4,10,3
1/8/20,3 Days by Rhye,Rhye,3 Days,2,4,10,7
5/8/20,All For Us - from the HBO Original Series Euphoria by Labrinth,Labrinth,All For Us - from the HBO Original Series Euphoria,2,4,10,4
3/8/20,Always Returning - Remastered 2005 by Brian Eno,Brian Eno,Always Returning - Remastered 2005,2,4,10,3
4/8/20,angel cum clean by Elvis Depressedly,Elvis Depressedly,angel cum clean,2,4,10,3
4/8/20,Baby by Brittany Howard,Brittany Howard,Baby,2,4,10,5
2/8/20,Baby by Brittany Howard,Brittany Howard,Baby,2,4,10,6
30/7/20,Baby by Ariel Pink,Ariel Pink,Baby,2,4,10,4
30/7/20,Baby Blue by King Krule,King Krule,Baby Blue,2,4,10,8
30/7/20,Be Mine by Amandla Stenberg,Amandla Stenberg,Be Mine,2,4,10,8
5/8/20,Best to You by Blood Orange,Blood Orange,Best to You,2,4,10,3
4/8/20,Binz by Solange,Solange,Binz,2,4,10,5
1/8/20,Chanel by Frank Ocean,Frank Ocean,Chanel,2,4,10,7
30/7/20,Cool Blue by The Japanese House,The Japanese House,Cool Blue,2,4,10,8
5/8/20,Cranes in the Sky by Solange,Solange,Cranes in the Sky,2,4,10,4
1/8/20,Crimewave by Crystal Castles,Crystal Castles,Crimewave,2,4,10,3
4/8/20,CYANIDE by Daniel Caesar,Daniel Caesar,CYANIDE,2,4,10,4
4/8/20,Death Cup by Mom Jeans.,Mom Jeans.,Death Cup,2,4,10,3
4/8/20,Easy Easy by King Krule,King Krule,Easy Easy,2,4,10,6
30/7/20,Elusive by Lianne La Havas,Lianne La Havas,Elusive,2,4,10,3
30/7/20,Every Day Is A Holiday (feat. Winston Surfshirt) by Dope Lemon,Dope Lemon,Every Day Is A Holiday (feat. Winston Surfshirt),2,4,10,6
1/8/20,Fade Into You by Mazzy Star,Mazzy Star,Fade Into You,2,4,10,3
4/8/20,Feather (feat. Cise Starr & Akin from Cyne) by Nujabes,Nujabes,Feather (feat. Cise Starr & Akin from Cyne),2,4,10,3
30/7/20,Flirting In Space by Brad stank,Brad stank,Flirting In Space,2,4,10,9
30/7/20,Forever Dolphin Love by Connan Mockasin,Connan Mockasin,Forever Dolphin Love,2,4,10,7
1/8/20,Free The Frail by JPEGMAFIA,JPEGMAFIA,Free The Frail,2,4,10,6
4/8/20,Freefall by KAYTRANADA,KAYTRANADA,Freefall,2,4,10,3
4/8/20,Garden (Say It Like Dat) by SZA,SZA,Garden (Say It Like Dat),2,4,10,3
30/7/20,getting it on by SALES,SALES,getting it on,2,4,10,8
5/8/20,Hold Up by Beyoncé,Beyoncé,Hold Up,2,4,10,4
5/8/20,Khmlwugh by HOMESHAKE,HOMESHAKE,Khmlwugh,2,4,10,5
5/8/20,La Lune by King Krule,King Krule,La Lune,2,4,10,5
4/8/20,Live Without Your Love (with Steve Lacy) by Love Regenerator,Love Regenerator,Live Without Your Love (with Steve Lacy),2,4,10,6
30/7/20,Loner by Kali Uchis,Kali Uchis,Loner,2,4,10,6
31/7/20,Mind Fields by No Vacation,No Vacation,Mind Fields,2,4,10,6
30/7/20,Misty Frequencies by Che-Fu,Che-Fu,Misty Frequencies,2,4,10,7
1/8/20,Moon Undah Water by Puma Blue,Puma Blue,Moon Undah Water,2,4,10,6
4/8/20,MSQ No-Extra by Black Marble,Black Marble,MSQ No-Extra,2,4,10,3
